#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 621; 5640752422; Victor Adrian Garcia Reyes; 54; 36; 14/02/1990; 14/02/2026; 2; 5(E); E1; Bajo; 4 Hora(s); Amenazas
PPL 789; 7792485400; Victor Antonio Cevallos Gomez; 48; 20; 15/02/2009; 15/02/2029; 5; 5(E); E79; Bajo; 4 Hora(s); Invasion
PPL 790; 9714171803; Mario Cesar Garcia Rivera; 27; 15; 28/09/2018; 28/09/2033; 9; 5(E); E80; Bajo; 4 Hora(s); Invasion
PPL 791; 5053470082; Roberto Angel Cuenca Hidalgo; 55; 42; 01/08/1988; 01/08/2030; 6; 5(E); E81; Bajo; 4 Hora(s); Otros
PPL 792; 9496586133; Mario Julian Garcia Roman; 51; 37; 21/09/1992; 21/09/2029; 5; 5(E); E82; Bajo; 4 Hora(s); Amenazas
PPL 793; 9223437898; Gonzalo Sergio Gonzales Reyes; 60; 43; 28/07/1983; 28/07/2026; 2; 5(E); E83; Bajo; 4 Hora(s); Estafa
PPL 794; 1332846368; Mario Paulo Perero Ramirez; 62; 43; 05/10/1984; 05/10/2027; 3; 5(E); E84; Bajo; 4 Hora(s); Invasion
PPL 795; 1620782051; Roberto Antonio Cuenca Morales; 45; 26; 27/07/2001; 27/07/2027; 3; 5(E); E85; Bajo; 4 Hora(s); Invasion
PPL 796; 7504238618; Roberto Antonio Gonzales Ramirez; 45; 30; 16/07/1999; 16/07/2029; 5; 5(E); E86; Bajo; 4 Hora(s); Amenazas
PPL 797; 9256818501; Roberto Julian Guerrero Roman; 61; 43; 04/12/1983; 04/12/2026; 2; 5(E); E87; Bajo; 4 Hora(s); Amenazas
PPL 798; 7835334066; Fabian Julian Cuenca Reyes; 23; 8; 25/01/2020; 25/01/2028; 4; 5(E); E88; Bajo; 4 Hora(s); Otros
PPL 799; 1723124629; Gonzalo Paulo Romero Ramirez; 35; 16; 25/02/2011; 25/02/2027; 3; 5(E); E89; Bajo; 4 Hora(s); Invasion
