#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 1; 3374583552; Victor Antonio Garcia Sanchez; 31; 18; 25/05/2020; 25/05/2038; 14; 1(A); A1; Alto; 1 Hora(s); Homicidio
PPL 170; 8594769772; Carlos Antonio Guerrero Gomez; 41; 26; 01/01/2003; 01/01/2029; 5; 2(B); B90; Medio; 2 Hora(s); Robo
PPL 171; 6041828015; Fabian Antonio Cuenca Reyes; 29; 29; 24/08/2019; 24/08/2048; 24; 2(B); B1; Medio; 2 Hora(s); Hurto
PPL 172; 5667668017; Mario Pablo Paredes Ramirez; 23; 8; 16/03/2020; 16/03/2028; 4; 2(B); B2; Medio; 2 Hora(s); Fraude
PPL 173; 8614450131; Victor Pablo Perero Sanchez; 64; 50; 18/10/1980; 18/10/2030; 6; 2(B); B3; Medio; 2 Hora(s); Fraude
PPL 174; 7030235613; Michael Diego Romero Rivera; 40; 23; 02/12/2022; 02/12/2045; 21; 2(B); B4; Medio; 2 Hora(s); Fraude
PPL 175; 3490098816; Victor Sergio Romero Morales; 47; 30; 05/09/1997; 05/09/2027; 3; 2(B); B5; Medio; 2 Hora(s); Hurto
PPL 176; 8171276945; Carlos Antonio Paredes Rivera; 32; 27; 19/04/2013; 19/04/2040; 16; 2(B); B6; Medio; 2 Hora(s); Fraude
PPL 177; 3440483744; Pedro Sergio Perero Roman; 56; 41; 19/01/1989; 19/01/2030; 6; 2(B); B7; Medio; 2 Hora(s); Robo
PPL 178; 9023184719; Dario Pablo Gonzales Rivera; 60; 45; 12/10/1984; 12/10/2029; 5; 2(B); B8; Medio; 2 Hora(s); Robo
PPL 179; 1670579332; Roberto Antonio Perero Reyes; 54; 38; 30/05/1989; 30/05/2027; 3; 2(B); B9; Medio; 2 Hora(s); Robo
PPL 180; 2422775605; Pedro Angel Torres Gomez; 48; 32; 15/11/1997; 15/11/2029; 5; 2(B); B10; Medio; 2 Hora(s); Robo
PPL 181; 3974666011; Roberto Paulo Perero Gomez; 65; 46; 14/09/1981; 14/09/2027; 3; 2(B); B11; Medio; 2 Hora(s); Hurto
PPL 182; 7115141535; Gonzalo Antonio Torres Ramirez; 49; 33; 07/12/1997; 07/12/2030; 6; 2(B); B12; Medio; 2 Hora(s); Evasion
PPL 183; 2412248667; Carlos Cesar Paredes Reyes; 33; 28; 13/12/2018; 13/12/2046; 22; 2(B); B13; Medio; 2 Hora(s); Evasion
PPL 184; 7812915673; Roberto Antonio Gonzales Roman; 63; 50; 12/11/1980; 12/11/2030; 6; 2(B); B14; Medio; 2 Hora(s); Hurto
PPL 185; 4493267992; Gonzalo Pablo Perero Espinosa; 63; 49; 20/10/1981; 20/10/2030; 6; 2(B); B15; Medio; 2 Hora(s); Robo
PPL 186; 9615015242; Dario Cesar Guerrero Roman; 41; 24; 23/01/2005; 23/01/2029; 5; 2(B); B16; Medio; 2 Hora(s); Fraude
PPL 187; 9156483076; Roberto Paulo Paredes Espinosa; 44; 25; 14/02/2019; 14/02/2044; 20; 2(B); B17; Medio; 2 Hora(s); Robo
PPL 188; 4553766253; Mario Julian Paredes Sanchez; 44; 14; 20/09/2012; 20/09/2026; 2; 2(B); B18; Medio; 2 Hora(s); Fraude
PPL 189; 1598678799; Gonzalo Diego Romero Sanchez; 61; 48; 10/07/1982; 10/07/2030; 6; 2(B); B19; Medio; 2 Hora(s); Fraude
PPL 190; 6910424584; Roberto Diego Romero Roman; 59; 46; 28/03/1984; 28/03/2030; 6; 2(B); B20; Medio; 2 Hora(s); Fraude
PPL 191; 1571648526; Roberto Adrian Cevallos Gomez; 64; 50; 12/08/1980; 12/08/2030; 6; 2(B); B21; Medio; 2 Hora(s); Fraude
PPL 192; 8583387070; Victor Diego Cevallos Espinosa; 65; 46; 15/03/1980; 15/03/2026; 2; 2(B); B22; Medio; 2 Hora(s); Evasion
PPL 193; 7180863642; Mario Sergio Torres Hidalgo; 37; 22; 07/06/2022; 07/06/2044; 20; 2(B); B23; Medio; 2 Hora(s); Evasion
PPL 194; 6659458640; Roberto Antonio Garcia Morales; 43; 26; 17/11/2002; 17/11/2028; 4; 2(B); B24; Medio; 2 Hora(s); Fraude
PPL 195; 4256734132; Gonzalo Adrian Garcia Hidalgo; 53; 36; 09/01/1991; 09/01/2027; 3; 2(B); B25; Medio; 2 Hora(s); Hurto
PPL 196; 9119150253; Roberto Pablo Paredes Espinosa; 63; 43; 24/05/1983; 24/05/2026; 2; 2(B); B26; Medio; 2 Hora(s); Hurto
PPL 197; 5830551933; Gonzalo Angel Cuenca Reyes; 50; 35; 24/02/1993; 24/02/2028; 4; 2(B); B27; Medio; 2 Hora(s); Robo
PPL 198; 5276727664; Carlos Pablo Gonzales Sanchez; 63; 45; 26/04/1983; 26/04/2028; 4; 2(B); B28; Medio; 2 Hora(s); Hurto
PPL 199; 4885275301; Fabian Pablo Cuenca Reyes; 50; 18; 15/12/2020; 15/12/2038; 14; 2(B); B29; Medio; 2 Hora(s); Evasion
PPL 200; 6819465153; Roberto Cesar Paredes Morales; 45; 21; 08/09/2016; 08/09/2037; 13; 2(B); B30; Medio; 2 Hora(s); Robo
PPL 201; 9632586852; Dario Cesar Cevallos Roman; 34; 20; 20/12/2010; 20/12/2030; 6; 2(B); B31; Medio; 2 Hora(s); Hurto
PPL 202; 8660271744; Dario Sergio Garcia Hidalgo; 57; 44; 09/02/1986; 09/02/2030; 6; 2(B); B32; Medio; 2 Hora(s); Evasion
PPL 203; 1985590474; Fabian Julian Cuenca Hidalgo; 35; 22; 25/01/2008; 25/01/2030; 6; 2(B); B33; Medio; 2 Hora(s); Fraude
PPL 204; 5328434710; Fabian Paulo Paredes Roman; 27; 6; 12/07/2023; 12/07/2029; 5; 2(B); B34; Medio; 2 Hora(s); Evasion
PPL 205; 5109670516; Michael Pablo Paredes Rivera; 55; 37; 04/02/1990; 04/02/2027; 3; 2(B); B35; Medio; 2 Hora(s); Evasion
PPL 206; 1110095717; Pedro Julian Paredes Roman; 56; 37; 25/02/1990; 25/02/2027; 3; 2(B); B36; Medio; 2 Hora(s); Evasion
PPL 207; 5286276879; Michael Antonio Paredes Ramirez; 38; 22; 15/03/2008; 15/03/2030; 6; 2(B); B37; Medio; 2 Hora(s); Robo
PPL 208; 9455975619; Roberto Sergio Paredes Roman; 62; 46; 05/09/1982; 05/09/2028; 4; 2(B); B38; Medio; 2 Hora(s); Evasion
PPL 209; 3810311936; Mario Paulo Garcia Gomez; 37; 26; 14/06/2022; 14/06/2048; 24; 2(B); B39; Medio; 2 Hora(s); Evasion
PPL 210; 6918334283; Gonzalo Angel Torres Hidalgo; 59; 43; 17/03/1987; 17/03/2030; 6; 2(B); B40; Medio; 2 Hora(s); Fraude
PPL 211; 3021892600; Roberto Paulo Gonzales Hidalgo; 38; 25; 18/10/2005; 18/10/2030; 6; 2(B); B41; Medio; 2 Hora(s); Hurto
PPL 212; 4404563932; Mario Julian Paredes Sanchez; 51; 32; 28/06/1994; 28/06/2026; 2; 2(B); B42; Medio; 2 Hora(s); Robo
PPL 213; 4828836122; Pedro Sergio Perero Gomez; 40; 27; 24/05/2003; 24/05/2030; 6; 2(B); B43; Medio; 2 Hora(s); Robo
PPL 214; 3925631113; Mario Angel Gonzales Espinosa; 43; 18; 31/11/2013; 31/11/2031; 7; 2(B); B44; Medio; 2 Hora(s); Fraude
PPL 215; 2948625320; Carlos Cesar Cevallos Reyes; 42; 30; 18/09/2020; 18/09/2050; 26; 2(B); B45; Medio; 2 Hora(s); Evasion
PPL 216; 9842623997; Carlos Paulo Paredes Roman; 61; 45; 15/03/1982; 15/03/2027; 3; 2(B); B46; Medio; 2 Hora(s); Hurto
PPL 217; 4161275860; Pedro Antonio Guerrero Espinosa; 37; 17; 08/08/2021; 08/08/2038; 14; 2(B); B47; Medio; 2 Hora(s); Fraude
PPL 218; 9221698683; Pedro Diego Cevallos Hidalgo; 40; 10; 23/10/2016; 23/10/2026; 2; 2(B); B48; Medio; 2 Hora(s); Fraude
PPL 219; 3786671639; Mario Diego Cuenca Reyes; 35; 18; 16/02/2008; 16/02/2026; 2; 2(B); B49; Medio; 2 Hora(s); Evasion
PPL 220; 7534937733; Carlos Antonio Paredes Reyes; 38; 24; 20/11/2005; 20/11/2029; 5; 2(B); B50; Medio; 2 Hora(s); Robo
PPL 221; 7856291219; Roberto Diego Garcia Sanchez; 61; 45; 03/06/1983; 03/06/2028; 4; 2(B); B51; Medio; 2 Hora(s); Hurto
PPL 222; 1677319437; Fabian Adrian Perero Morales; 36; 28; 20/05/2007; 20/05/2035; 11; 2(B); B52; Medio; 2 Hora(s); Robo
PPL 223; 8343580216; Gonzalo Julian Paredes Sanchez; 54; 38; 18/12/1989; 18/12/2027; 3; 2(B); B53; Medio; 2 Hora(s); Evasion
PPL 224; 3018485669; Pedro Cesar Perero Sanchez; 48; 31; 31/04/1995; 31/04/2026; 2; 2(B); B54; Medio; 2 Hora(s); Fraude
PPL 225; 8165062528; Mario Julian Cevallos Morales; 48; 33; 22/12/1995; 22/12/2028; 4; 2(B); B55; Medio; 2 Hora(s); Hurto
PPL 226; 5993091167; Pedro Cesar Guerrero Reyes; 65; 50; 20/05/1980; 20/05/2030; 6; 2(B); B56; Medio; 2 Hora(s); Hurto
PPL 227; 2613579227; Michael Pablo Cuenca Rivera; 47; 19; 12/03/2015; 12/03/2034; 10; 2(B); B57; Medio; 2 Hora(s); Evasion
PPL 228; 6521673516; Gonzalo Julian Torres Gomez; 63; 48; 20/10/1980; 20/10/2028; 4; 2(B); B58; Medio; 2 Hora(s); Robo
PPL 229; 1285916223; Victor Adrian Torres Hidalgo; 54; 37; 21/11/1991; 21/11/2028; 4; 2(B); B59; Medio; 2 Hora(s); Evasion
PPL 230; 7452798389; Roberto Angel Garcia Sanchez; 37; 26; 11/08/2011; 11/08/2037; 13; 2(B); B60; Medio; 2 Hora(s); Hurto
PPL 231; 7599996341; Victor Paulo Gonzales Sanchez; 40; 23; 31/07/2004; 31/07/2027; 3; 2(B); B61; Medio; 2 Hora(s); Fraude
PPL 232; 8903250259; Gonzalo Adrian Garcia Hidalgo; 49; 33; 28/11/1994; 28/11/2027; 3; 2(B); B62; Medio; 2 Hora(s); Hurto
PPL 233; 1404695183; Dario Antonio Guerrero Ramirez; 56; 40; 12/08/1988; 12/08/2028; 4; 2(B); B63; Medio; 2 Hora(s); Robo
PPL 234; 8555640933; Mario Angel Paredes Roman; 45; 31; 25/03/1998; 25/03/2029; 5; 2(B); B64; Medio; 2 Hora(s); Evasion
PPL 235; 6518114911; Roberto Diego Cuenca Sanchez; 47; 28; 19/05/1999; 19/05/2027; 3; 2(B); B65; Medio; 2 Hora(s); Evasion
PPL 236; 3611615554; Pedro Adrian Perero Roman; 29; 16; 15/08/2022; 15/08/2038; 14; 2(B); B66; Medio; 2 Hora(s); Fraude
PPL 237; 7985576974; Fabian Antonio Perero Reyes; 62; 47; 11/03/1982; 11/03/2029; 5; 2(B); B67; Medio; 2 Hora(s); Robo
PPL 238; 9342446560; Fabian Antonio Garcia Ramirez; 34; 15; 22/06/2012; 22/06/2027; 3; 2(B); B68; Medio; 2 Hora(s); Hurto
PPL 239; 2797152388; Carlos Adrian Cevallos Rivera; 22; 15; 13/12/2022; 13/12/2037; 13; 2(B); B69; Medio; 2 Hora(s); Robo
PPL 240; 8802188293; Mario Antonio Paredes Sanchez; 56; 37; 21/06/1989; 21/06/2026; 2; 2(B); B70; Medio; 2 Hora(s); Hurto
PPL 241; 2655318500; Mario Cesar Romero Espinosa; 19; 14; 11/01/2024; 11/01/2038; 14; 2(B); B71; Medio; 2 Hora(s); Fraude
PPL 242; 1835970517; Michael Adrian Torres Ramirez; 47; 29; 12/03/1998; 12/03/2027; 3; 2(B); B72; Medio; 2 Hora(s); Hurto
PPL 243; 7028636761; Pedro Diego Paredes Morales; 38; 23; 10/04/2007; 10/04/2030; 6; 2(B); B73; Medio; 2 Hora(s); Hurto
PPL 244; 9964728662; Pedro Antonio Perero Roman; 49; 13; 27/07/2015; 27/07/2028; 4; 2(B); B74; Medio; 2 Hora(s); Robo
PPL 245; 9219733926; Michael Sergio Paredes Roman; 58; 42; 02/08/1985; 02/08/2027; 3; 2(B); B75; Medio; 2 Hora(s); Hurto
PPL 246; 8195697567; Fabian Antonio Romero Rivera; 47; 30; 20/08/1997; 20/08/2027; 3; 2(B); B76; Medio; 2 Hora(s); Robo
PPL 247; 5553794306; Roberto Angel Torres Reyes; 33; 15; 25/08/2019; 25/08/2034; 10; 2(B); B77; Medio; 2 Hora(s); Robo
PPL 248; 6961811822; Roberto Sergio Perero Roman; 55; 41; 17/07/1988; 17/07/2029; 5; 2(B); B78; Medio; 2 Hora(s); Hurto
PPL 249; 9332828375; Dario Pablo Paredes Reyes; 48; 22; 14/02/2007; 14/02/2029; 5; 2(B); B79; Medio; 2 Hora(s); Evasion
PPL 250; 5224952815; Gonzalo Angel Romero Hidalgo; 50; 26; 05/10/2003; 05/10/2029; 5; 2(B); B80; Medio; 2 Hora(s); Hurto
PPL 251; 1667868496; Carlos Julian Cuenca Sanchez; 65; 49; 28/05/1980; 28/05/2029; 5; 2(B); B81; Medio; 2 Hora(s); Evasion
PPL 252; 9240368764; Roberto Cesar Perero Hidalgo; 63; 48; 03/08/1982; 03/08/2030; 6; 2(B); B82; Medio; 2 Hora(s); Fraude
PPL 253; 4151852280; Gonzalo Paulo Gonzales Sanchez; 31; 14; 25/07/2012; 25/07/2026; 2; 2(B); B83; Medio; 2 Hora(s); Robo
PPL 254; 3600691830; Fabian Sergio Garcia Sanchez; 53; 37; 02/03/1990; 02/03/2027; 3; 2(B); B84; Medio; 2 Hora(s); Fraude
PPL 255; 6435258089; Gonzalo Antonio Romero Sanchez; 31; 27; 27/09/2018; 27/09/2045; 21; 2(B); B85; Medio; 2 Hora(s); Robo
PPL 256; 5438547415; Mario Julian Romero Ramirez; 46; 31; 08/10/1999; 08/10/2030; 6; 2(B); B86; Medio; 2 Hora(s); Robo
PPL 257; 9990571615; Fabian Sergio Cevallos Espinosa; 21; 23; 04/12/2022; 04/12/2045; 21; 2(B); B87; Medio; 2 Hora(s); Hurto
PPL 258; 2825970918; Dario Pablo Gonzales Sanchez; 39; 24; 28/09/2005; 28/09/2029; 5; 2(B); B88; Medio; 2 Hora(s); Fraude
PPL 259; 2516270013; Michael Antonio Garcia Ramirez; 63; 46; 20/09/1982; 20/09/2028; 4; 2(B); B89; Medio; 2 Hora(s); Evasion
PPL 260; 7944377441; Roberto Paulo Cuenca Rivera; 28; 11; 16/12/2020; 16/12/2031; 7; 2(B); B90; Medio; 2 Hora(s); Evasion
PPL 261; 3493444121; Roberto Antonio Paredes Reyes; 61; 44; 15/02/1985; 15/02/2029; 5; 3(C); C1; Medio; 2 Hora(s); Fraude
PPL 262; 4679684411; Roberto Diego Guerrero Sanchez; 49; 13; 06/10/2015; 06/10/2028; 4; 3(C); C2; Medio; 2 Hora(s); Hurto
PPL 263; 5779748798; Pedro Paulo Paredes Reyes; 39; 24; 18/01/2004; 18/01/2028; 4; 3(C); C3; Medio; 2 Hora(s); Fraude
PPL 264; 4905413017; Carlos Diego Cuenca Espinosa; 43; 29; 29/05/2000; 29/05/2029; 5; 3(C); C4; Medio; 2 Hora(s); Robo
PPL 265; 5298742823; Roberto Sergio Cevallos Reyes; 44; 28; 07/03/1999; 07/03/2027; 3; 3(C); C5; Medio; 2 Hora(s); Hurto
PPL 266; 8891613889; Michael Angel Torres Ramirez; 39; 30; 29/01/2004; 29/01/2034; 10; 3(C); C6; Medio; 2 Hora(s); Hurto
PPL 267; 9333735146; Roberto Cesar Guerrero Rivera; 49; 30; 25/08/1995; 25/08/2025; 1; 3(C); C7; Medio; 2 Hora(s); Hurto
PPL 268; 5844244496; Dario Angel Cuenca Sanchez; 38; 23; 24/12/2005; 24/12/2028; 4; 3(C); C8; Medio; 2 Hora(s); Hurto
PPL 269; 6858210490; Dario Cesar Garcia Roman; 38; 26; 20/09/2006; 20/09/2032; 8; 3(C); C9; Medio; 2 Hora(s); Evasion
PPL 270; 7130121213; Fabian Angel Torres Rivera; 58; 39; 07/06/1987; 07/06/2026; 2; 3(C); C10; Medio; 2 Hora(s); Robo
PPL 271; 2323148522; Gonzalo Antonio Romero Roman; 64; 48; 20/12/1982; 20/12/2030; 6; 3(C); C11; Medio; 2 Hora(s); Robo
PPL 272; 8874397281; Victor Julian Guerrero Espinosa; 53; 38; 07/06/1990; 07/06/2028; 4; 3(C); C12; Medio; 2 Hora(s); Fraude
PPL 273; 5970712599; Dario Julian Paredes Gomez; 48; 24; 02/01/2003; 02/01/2027; 3; 3(C); C13; Medio; 2 Hora(s); Fraude
PPL 274; 2646965465; Mario Antonio Torres Ramirez; 61; 41; 25/09/1985; 25/09/2026; 2; 3(C); C14; Medio; 2 Hora(s); Hurto
PPL 275; 5805232008; Pedro Adrian Gonzales Sanchez; 36; 22; 04/03/2007; 04/03/2029; 5; 3(C); C15; Medio; 2 Hora(s); Hurto
PPL 276; 8092973685; Roberto Diego Perero Ramirez; 28; 25; 28/02/2017; 28/02/2042; 18; 3(C); C16; Medio; 2 Hora(s); Robo
PPL 277; 4365676888; Michael Adrian Paredes Sanchez; 56; 42; 09/05/1987; 09/05/2029; 5; 3(C); C17; Medio; 2 Hora(s); Hurto
PPL 278; 4089760319; Dario Paulo Cevallos Espinosa; 25; 22; 22/10/2019; 22/10/2041; 17; 3(C); C18; Medio; 2 Hora(s); Fraude
PPL 279; 7201139965; Roberto Angel Perero Rivera; 25; 24; 07/10/2020; 07/10/2044; 20; 3(C); C19; Medio; 2 Hora(s); Robo
PPL 280; 8806142754; Roberto Paulo Torres Rivera; 30; 12; 07/01/2014; 07/01/2026; 2; 3(C); C20; Medio; 2 Hora(s); Robo
PPL 281; 3130381613; Roberto Pablo Guerrero Roman; 55; 41; 21/10/1989; 21/10/2030; 6; 3(C); C21; Medio; 2 Hora(s); Fraude
PPL 282; 7312158387; Dario Antonio Paredes Roman; 56; 39; 19/09/1989; 19/09/2028; 4; 3(C); C22; Medio; 2 Hora(s); Hurto
PPL 283; 1434760677; Roberto Adrian Paredes Gomez; 50; 35; 09/01/1993; 09/01/2028; 4; 3(C); C23; Medio; 2 Hora(s); Hurto
PPL 284; 2471946154; Michael Adrian Perero Ramirez; 58; 41; 12/06/1986; 12/06/2027; 3; 3(C); C24; Medio; 2 Hora(s); Fraude
PPL 285; 7000287067; Michael Antonio Torres Hidalgo; 25; 13; 15/12/2019; 15/12/2032; 8; 3(C); C25; Medio; 2 Hora(s); Evasion
PPL 286; 8299051804; Fabian Angel Gonzales Sanchez; 45; 28; 03/11/2001; 03/11/2029; 5; 3(C); C26; Medio; 2 Hora(s); Hurto
PPL 287; 6740259990; Gonzalo Antonio Perero Rivera; 56; 37; 14/03/1989; 14/03/2026; 2; 3(C); C27; Medio; 2 Hora(s); Hurto
PPL 288; 8675221651; Mario Paulo Paredes Hidalgo; 56; 41; 30/12/1988; 30/12/2029; 5; 3(C); C28; Medio; 2 Hora(s); Fraude
PPL 289; 5727185794; Roberto Sergio Paredes Gomez; 60; 47; 12/11/1983; 12/11/2030; 6; 3(C); C29; Medio; 2 Hora(s); Fraude
PPL 290; 2470482060; Dario Sergio Paredes Hidalgo; 29; 12; 02/08/2015; 02/08/2027; 3; 3(C); C30; Medio; 2 Hora(s); Robo
PPL 291; 6462043558; Fabian Sergio Romero Roman; 31; 4; 06/08/2022; 06/08/2026; 2; 3(C); C31; Medio; 2 Hora(s); Evasion
PPL 292; 5373297971; Dario Angel Gonzales Sanchez; 27; 25; 03/12/2022; 03/12/2047; 23; 3(C); C32; Medio; 2 Hora(s); Evasion
PPL 293; 2108861605; Pedro Julian Paredes Ramirez; 31; 27; 28/01/2014; 28/01/2041; 17; 3(C); C33; Medio; 2 Hora(s); Fraude
PPL 294; 8975523086; Gonzalo Sergio Romero Morales; 46; 18; 08/12/2012; 08/12/2030; 6; 3(C); C34; Medio; 2 Hora(s); Fraude
PPL 295; 4687247968; Pedro Antonio Romero Roman; 37; 20; 09/04/2009; 09/04/2029; 5; 3(C); C35; Medio; 2 Hora(s); Fraude
PPL 296; 3392695680; Mario Sergio Paredes Sanchez; 44; 23; 23/12/2004; 23/12/2027; 3; 3(C); C36; Medio; 2 Hora(s); Hurto
PPL 297; 5343598718; Pedro Julian Perero Sanchez; 55; 39; 08/09/1991; 08/09/2030; 6; 3(C); C37; Medio; 2 Hora(s); Hurto
PPL 298; 7666245955; Fabian Sergio Perero Sanchez; 50; 32; 06/11/1994; 06/11/2026; 2; 3(C); C38; Medio; 2 Hora(s); Evasion
PPL 299; 7377983594; Gonzalo Paulo Guerrero Roman; 62; 43; 02/03/1984; 02/03/2027; 3; 3(C); C39; Medio; 2 Hora(s); Fraude
PPL 300; 9830864641; Victor Sergio Guerrero Sanchez; 58; 41; 30/03/1985; 30/03/2026; 2; 3(C); C40; Medio; 2 Hora(s); Evasion
PPL 301; 9733734541; Roberto Paulo Garcia Morales; 53; 37; 16/09/1993; 16/09/2030; 6; 3(C); C41; Medio; 2 Hora(s); Fraude
PPL 302; 3057493052; Victor Paulo Torres Reyes; 54; 38; 02/04/1989; 02/04/2027; 3; 3(C); C42; Medio; 2 Hora(s); Robo
PPL 303; 4217074606; Michael Adrian Gonzales Gomez; 34; 30; 07/09/2017; 07/09/2047; 23; 3(C); C43; Medio; 2 Hora(s); Evasion
PPL 304; 5694116931; Victor Antonio Gonzales Sanchez; 39; 21; 18/03/2007; 18/03/2028; 4; 3(C); C44; Medio; 2 Hora(s); Robo
PPL 305; 8049664291; Pedro Pablo Torres Roman; 55; 40; 02/02/1989; 02/02/2029; 5; 3(C); C45; Medio; 2 Hora(s); Evasion
PPL 306; 8359345819; Carlos Pablo Garcia Roman; 42; 14; 05/11/2016; 05/11/2030; 6; 3(C); C46; Medio; 2 Hora(s); Hurto
PPL 307; 1602744251; Dario Diego Romero Sanchez; 66; 46; 07/08/1980; 07/08/2026; 2; 3(C); C47; Medio; 2 Hora(s); Robo
PPL 308; 22890100123; Carlos Paulo Gonzales Rivera; 23; 7; 23/05/2022; 23/05/2029; 5; 3(C); C48; Medio; 2 Hora(s); Robo
PPL 309; 10023833990; Pedro Cesar Perero Reyes; 38; 22; 01/07/2005; 01/07/2027; 3; 3(C); C49; Medio; 2 Hora(s); Evasion
PPL 310; 6208740206; Gonzalo Antonio Cevallos Gomez; 57; 38; 21/09/1989; 21/09/2027; 3; 3(C); C50; Medio; 2 Hora(s); Robo
PPL 311; 6307995262; Roberto Cesar Romero Ramirez; 38; 22; 07/06/2023; 07/06/2045; 21; 3(C); C51; Medio; 2 Hora(s); Hurto
PPL 312; 8865345564; Dario Adrian Garcia Ramirez; 58; 43; 29/11/1985; 29/11/2028; 4; 3(C); C52; Medio; 2 Hora(s); Evasion
PPL 313; 2658246424; Roberto Julian Garcia Reyes; 46; 29; 08/03/1997; 08/03/2026; 2; 3(C); C53; Medio; 2 Hora(s); Robo
PPL 314; 8056946040; Victor Adrian Guerrero Espinosa; 37; 24; 12/06/2008; 12/06/2032; 8; 3(C); C54; Medio; 2 Hora(s); Hurto
PPL 315; 5734428051; Fabian Antonio Cevallos Reyes; 59; 43; 31/12/1985; 31/12/2028; 4; 3(C); C55; Medio; 2 Hora(s); Fraude
PPL 316; 7564282632; Mario Adrian Gonzales Roman; 59; 43; 16/10/1986; 16/10/2029; 5; 3(C); C56; Medio; 2 Hora(s); Robo
PPL 317; 7522771531; Mario Antonio Paredes Gomez; 47; 34; 08/01/1996; 08/01/2030; 6; 3(C); C57; Medio; 2 Hora(s); Robo
PPL 318; 3041511519; Roberto Pablo Paredes Rivera; 59; 43; 12/02/1984; 12/02/2027; 3; 3(C); C58; Medio; 2 Hora(s); Fraude
PPL 319; 1956783740; Gonzalo Angel Paredes Rivera; 34; 26; 21/11/2023; 21/11/2049; 25; 3(C); C59; Medio; 2 Hora(s); Robo
PPL 320; 6942136213; Dario Cesar Torres Gomez; 40; 24; 17/06/2003; 17/06/2027; 3; 3(C); C60; Medio; 2 Hora(s); Hurto
PPL 321; 5040059527; Roberto Antonio Romero Gomez; 51; 34; 06/08/1992; 06/08/2026; 2; 3(C); C61; Medio; 2 Hora(s); Hurto
PPL 322; 3894894515; Carlos Angel Cevallos Hidalgo; 63; 44; 23/07/1982; 23/07/2026; 2; 3(C); C62; Medio; 2 Hora(s); Fraude
PPL 323; 5827086780; Mario Angel Cuenca Roman; 58; 43; 03/05/1985; 03/05/2028; 4; 3(C); C63; Medio; 2 Hora(s); Robo
PPL 324; 4318914738; Pedro Antonio Garcia Espinosa; 43; 18; 03/05/2012; 03/05/2030; 6; 3(C); C64; Medio; 2 Hora(s); Robo
PPL 325; 2573895361; Gonzalo Diego Perero Gomez; 54; 39; 15/10/1990; 15/10/2029; 5; 3(C); C65; Medio; 2 Hora(s); Hurto
PPL 326; 3243274385; Fabian Adrian Cuenca Gomez; 31; 15; 28/01/2012; 28/01/2027; 3; 3(C); C66; Medio; 2 Hora(s); Evasion
PPL 327; 7790550991; Pedro Paulo Garcia Rivera; 35; 17; 06/03/2011; 06/03/2028; 4; 3(C); C67; Medio; 2 Hora(s); Hurto
PPL 328; 4810881814; Carlos Adrian Cuenca Hidalgo; 49; 12; 09/09/2013; 09/09/2025; 1; 3(C); C68; Medio; 2 Hora(s); Hurto
PPL 329; 2797165472; Fabian Antonio Guerrero Espinosa; 49; 18; 18/03/2022; 18/03/2040; 16; 3(C); C69; Medio; 2 Hora(s); Robo
PPL 330; 7303933878; Roberto Angel Perero Rivera; 46; 23; 09/08/2005; 09/08/2028; 4; 3(C); C70; Medio; 2 Hora(s); Evasion
PPL 331; 7380919337; Roberto Antonio Guerrero Espinosa; 41; 25; 02/06/2003; 02/06/2028; 4; 3(C); C71; Medio; 2 Hora(s); Evasion
PPL 332; 3882021164; Roberto Antonio Garcia Roman; 64; 46; 09/08/1982; 09/08/2028; 4; 3(C); C72; Medio; 2 Hora(s); Fraude
PPL 333; 9502242346; Mario Sergio Garcia Sanchez; 44; 28; 29/02/2001; 29/02/2029; 5; 3(C); C73; Medio; 2 Hora(s); Robo
PPL 334; 9889098370; Carlos Antonio Cevallos Hidalgo; 56; 43; 30/12/1987; 30/12/2030; 6; 3(C); C74; Medio; 2 Hora(s); Robo
PPL 335; 5418283876; Victor Pablo Cevallos Morales; 48; 10; 31/04/2018; 31/04/2028; 4; 3(C); C75; Medio; 2 Hora(s); Hurto
PPL 336; 4689956848; Gonzalo Sergio Cuenca Sanchez; 66; 46; 06/12/1980; 06/12/2026; 2; 3(C); C76; Medio; 2 Hora(s); Hurto
PPL 337; 3027191986; Pedro Paulo Garcia Hidalgo; 53; 34; 30/05/1992; 30/05/2026; 2; 3(C); C77; Medio; 2 Hora(s); Robo
PPL 338; 6146615533; Roberto Antonio Cuenca Reyes; 39; 23; 03/10/2006; 03/10/2029; 5; 3(C); C78; Medio; 2 Hora(s); Fraude
PPL 339; 9343723080; Fabian Antonio Garcia Reyes; 50; 8; 08/07/2024; 08/07/2032; 8; 3(C); C79; Medio; 2 Hora(s); Evasion
PPL 340; 8591979452; Roberto Antonio Garcia Espinosa; 47; 33; 04/09/1996; 04/09/2029; 5; 3(C); C80; Medio; 2 Hora(s); Evasion
PPL 341; 8943934014; Michael Paulo Cuenca Roman; 37; 20; 28/12/2009; 28/12/2029; 5; 3(C); C81; Medio; 2 Hora(s); Fraude
PPL 342; 3557711787; Roberto Paulo Gonzales Morales; 47; 19; 28/06/2010; 28/06/2029; 5; 3(C); C82; Medio; 2 Hora(s); Robo
