#PPL; Cedula; Nombres; Edad(Anios); Pena(anios); Fecha(Ingreso)(d/m/a); Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 441; 1504172230; Roberto Julian Paredes Morales; 50; 35; 21/01/1993; 21/01/2028; 4; 4(D); D1; Bajo; 4 Hora(s); Otros
PPL 610; 7431937786; Roberto Sergio Paredes Espinosa; 42; 26; 05/11/2001; 05/11/2027; 3; 4(D); D80; Bajo; 4 Hora(s); Invasion
PPL 611; 1701576188; Fabian Adrian Paredes Rivera; 42; 28; 18/06/2001; 18/06/2029; 5; 4(D); D81; Bajo; 4 Hora(s); Otros
PPL 612; 3588398876; Fabian Antonio Paredes Sanchez; 43; 22; 01/11/2010; 01/11/2032; 8; 4(D); D82; Bajo; 4 Hora(s); Amenazas
PPL 613; 7717538542; Michael Antonio Perero Rivera; 38; 29; 06/07/2008; 06/07/2037; 13; 4(D); D83; Bajo; 4 Hora(s); Invasion
PPL 614; 3486691576; Mario Cesar Cevallos Reyes; 52; 37; 05/07/1992; 05/07/2029; 5; 4(D); D84; Bajo; 4 Hora(s); Invasion
PPL 615; 7342313011; Roberto Cesar Paredes Gomez; 43; 30; 16/09/2008; 16/09/2038; 14; 4(D); D85; Bajo; 4 Hora(s); Estafa
PPL 616; 9673357723; Fabian Antonio Guerrero Hidalgo; 50; 17; 15/07/2015; 15/07/2032; 8; 4(D); D86; Bajo; 4 Hora(s); Amenazas
PPL 617; 3188547175; Roberto Paulo Cevallos Hidalgo; 60; 41; 06/11/1986; 06/11/2027; 3; 4(D); D87; Bajo; 4 Hora(s); Invasion
PPL 618; 7266086645; Gonzalo Diego Torres Espinosa; 60; 46; 08/05/1984; 08/05/2030; 6; 4(D); D88; Bajo; 4 Hora(s); Amenazas
PPL 619; 3550625617; Pedro Antonio Romero Morales; 42; 27; 05/02/2003; 05/02/2030; 6; 4(D); D89; Bajo; 4 Hora(s); Estafa
PPL 620; 6516429809; Gonzalo Adrian Gonzales Gomez; 42; 25; 25/12/2003; 25/12/2028; 4; 4(D); D90; Bajo; 4 Hora(s); Amenazas
